id,entity_id,degree_centrality,betweenness_centrality,pagerank,computed_at
NA000340,PH000146,0.0005,0,0.0001,2026-09-07T05:25:52.417308Z
NA000341,P000115,0.0102,0.0047,0.0019,2026-09-07T05:25:52.417313Z
NA000342,PH000147,0.0005,0,0.0001,2026-09-07T05:25:52.417317Z
NA000343,P000116,0.0064,0.0082,0.0014,2026-09-07T05:25:52.417322Z
NA000344,PH000148,0.0005,0,0.0001,2026-09-07T05:25:52.417327Z
NA000345,P000117,0.0081,0.0085,0.0015,2026-09-07T05:25:52.417331Z
NA000346,PH000149,0.0005,0,0.0001,2026-09-07T05:25:52.417335Z
NA000347,PH000150,0.0005,0,0.0001,2026-09-07T05:25:52.417340Z
NA000348,P000119,0.0075,0.0027,0.0015,2026-09-07T05:25:52.417345Z
NA000349,PH000151,0.0005,0,0.0001,2026-09-07T05:25:52.417349Z
NA000350,PH000153,0.0005,0,0.0001,2026-09-07T05:25:52.417353Z
NA000351,P000121,0.0091,0.0083,0.0016,2026-09-07T05:25:52.417358Z
NA000352,PH000154,0.0005,0,0.0002,2026-09-07T05:25:52.417363Z
NA000353,P000122,0.0081,0.0073,0.0014,2026-09-07T05:25:52.417367Z
NA000354,PH000155,0.0005,0,0.0002,2026-09-07T05:25:52.417373Z
NA000355,P000123,0.0081,0.0091,0.0013,2026-09-07T05:25:52.417378Z
NA000356,PH000156,0.0005,0,0.0002,2026-09-07T05:25:52.417382Z
NA000357,PH000157,0.0005,0,0.0002,2026-09-07T05:25:52.417387Z
NA000358,P000124,0.0075,0.0029,0.0014,2026-09-07T05:25:52.417391Z
NA000359,PH000158,0.0005,0,0.0001,2026-09-07T05:25:52.417396Z
NA000360,P000125,0.0086,0.0092,0.0016,2026-09-07T05:25:52.417400Z
NA000361,PH000159,0.0005,0,0.0001,2026-09-07T05:25:52.417405Z
NA000362,P000126,0.0054,0.0023,0.0009,2026-09-07T05:25:52.417409Z
NA000363,PH000160,0.0005,0,0.0002,2026-09-07T05:25:52.417414Z
NA000364,P000127,0.0086,0.0038,0.0014,2026-09-07T05:25:52.417418Z
NA000365,PH000161,0.0005,0,0.0002,2026-09-07T05:25:52.417423Z
NA000366,P000128,0.0199,0.0228,0.0033,2026-09-07T05:25:52.417427Z
NA000367,PH000162,0.0005,0,0.0001,2026-09-07T05:25:52.417432Z
NA000368,PH000163,0.0005,0,0.0001,2026-09-07T05:25:52.417436Z
NA000369,PH000164,0.0005,0,0.0002,2026-09-07T05:25:52.417441Z
NA000370,P000130,0.0064,0.0032,0.0012,2026-09-07T05:25:52.417445Z
NA000371,PH000165,0.0005,0,0.0002,2026-09-07T05:25:52.417449Z
NA000372,P000131,0.0091,0.0036,0.0016,2026-09-07T05:25:52.417454Z
NA000373,PH000166,0.0005,0,0.0002,2026-09-07T05:25:52.417459Z
NA000374,PH000167,0.0005,0,0.0002,2026-09-07T05:25:52.417464Z
NA000375,P000132,0.0091,0.0136,0.0015,2026-09-07T05:25:52.417469Z
NA000376,PH000168,0.0005,0,0.0001,2026-09-07T05:25:52.417473Z
NA000377,P000133,0.0075,0.0081,0.0013,2026-09-07T05:25:52.417478Z
NA000378,PH000169,0.0005,0,0.0002,2026-09-07T05:25:52.417482Z
NA000379,PH000170,0.0005,0,0.0002,2026-09-07T05:25:52.417487Z
NA000380,P000134,0.0118,0.0057,0.002,2026-09-07T05:25:52.417491Z
NA000381,PH000171,0.0005,0,0.0001,2026-09-07T05:25:52.417496Z
NA000382,PH000172,0.0005,0,0.0001,2026-09-07T05:25:52.417501Z
NA000383,P000135,0.0064,0.0072,0.0012,2026-09-07T05:25:52.417505Z
NA000384,PH000173,0.0005,0,0.0002,2026-09-07T05:25:52.417510Z
NA000385,P000136,0.0081,0.0061,0.0013,2026-09-07T05:25:52.417517Z
NA000386,PH000174,0.0005,0,0.0002,2026-09-07T05:25:52.417524Z
NA000387,P000137,0.0054,0.0037,0.0009,2026-09-07T05:25:52.417531Z
NA000388,PH000175,0.0005,0,0.0002,2026-09-07T05:25:52.417537Z
NA000389,PH000177,0.0005,0,0.0001,2026-09-07T05:25:52.417544Z
NA000390,P000139,0.0161,0.017,0.0034,2026-09-07T05:25:52.417551Z
NA000391,PH000178,0.0005,0,0.0001,2026-09-07T05:25:52.417557Z
NA000392,P000140,0.0172,0.0133,0.0034,2026-09-07T05:25:52.417564Z
NA000393,PH000179,0.0005,0,0.0001,2026-09-07T05:25:52.417571Z
NA000394,P000141,0.0102,0.0049,0.0017,2026-09-07T05:25:52.417578Z
NA000395,PH000180,0.0005,0,0.0001,2026-09-07T05:25:52.417585Z
NA000396,P000142,0.0177,0.0166,0.0033,2026-09-07T05:25:52.417592Z
NA000397,PH000181,0.0005,0,0.0001,2026-09-07T05:25:52.417599Z
NA000398,P000143,0.0075,0.0077,0.0018,2026-09-07T05:25:52.417607Z
NA000399,PH000182,0.0005,0,0.0001,2026-09-07T05:25:52.417614Z
NA000400,P000144,0.0081,0.0017,0.0014,2026-09-07T05:25:52.417621Z
NA000401,PH000183,0.0005,0,0.0001,2026-09-07T05:25:52.417628Z
NA000402,P000145,0.0075,0.0016,0.0015,2026-09-07T05:25:52.417637Z
NA000403,PH000184,0.0005,0,0.0001,2026-09-07T05:25:52.417644Z
NA000404,PH000185,0.0005,0,0.0001,2026-09-07T05:25:52.417651Z
NA000405,P000147,0.0118,0.0091,0.0022,2026-09-07T05:25:52.417658Z
NA000406,PH000186,0.0005,0,0.0001,2026-09-07T05:25:52.417665Z
NA000407,PH000187,0.0005,0,0.0001,2026-09-07T05:25:52.417673Z
NA000408,P000148,0.0081,0.0026,0.0014,2026-09-07T05:25:52.417680Z
NA000409,PH000188,0.0005,0,0.0001,2026-09-07T05:25:52.417687Z
NA000410,P000149,0.0075,0.0027,0.0014,2026-09-07T05:25:52.417694Z
NA000411,PH000189,0.0005,0,0.0001,2026-09-07T05:25:52.417701Z
NA000412,P000150,0.0091,0.0039,0.0015,2026-09-07T05:25:52.417708Z
NA000413,PH000190,0.0005,0,0.0001,2026-09-07T05:25:52.417715Z
NA000414,P000151,0.0091,0.0059,0.0016,2026-09-07T05:25:52.417722Z
NA000415,PH000191,0.0005,0,0.0001,2026-09-07T05:25:52.417729Z
NA000416,P000152,0.0091,0.0036,0.0019,2026-09-07T05:25:52.417736Z
NA000417,PH000192,0.0005,0,0.0001,2026-09-07T05:25:52.417743Z
NA000418,PH000193,0.0005,0,0.0001,2026-09-07T05:25:52.417752Z
NA000419,PH000195,0.0005,0,0.0001,2026-09-07T05:25:52.417761Z
NA000420,P000155,0.0086,0.0086,0.0015,2026-09-07T05:25:52.417769Z
NA000421,PH000196,0.0005,0,0.0002,2026-09-07T05:25:52.417776Z
NA000422,P000156,0.015,0.0129,0.0024,2026-09-07T05:25:52.417785Z
NA000423,PH000197,0.0005,0,0.0001,2026-09-07T05:25:52.417793Z
NA000424,P000157,0.015,0.0183,0.0026,2026-09-07T05:25:52.417801Z
NA000425,PH000198,0.0005,0,0.0001,2026-09-07T05:25:52.417809Z
NA000426,PH000199,0.0005,0,0.0001,2026-09-07T05:25:52.417818Z
NA000427,P000158,0.0097,0.01,0.0016,2026-09-07T05:25:52.417827Z
NA000428,PH000200,0.0005,0,0.0001,2026-09-07T05:25:52.417835Z
NA000429,P000159,0.0129,0.0059,0.0025,2026-09-07T05:25:52.417843Z
NA000430,PH000201,0.0005,0,0.0001,2026-09-07T05:25:52.417852Z
NA000431,P000160,0.0091,0.005,0.0015,2026-09-07T05:25:52.417860Z
NA000432,PH000202,0.0005,0,0.0002,2026-09-07T05:25:52.417868Z
NA000433,P000161,0.007,0.0077,0.0014,2026-09-07T05:25:52.417877Z
NA000434,PH000203,0.0005,0,0.0001,2026-09-07T05:25:52.417885Z
NA000435,PH000204,0.0005,0,0.0001,2026-09-07T05:25:52.417894Z
NA000436,P000163,0.0075,0.0109,0.0013,2026-09-07T05:25:52.417903Z
NA000437,PH000205,0.0005,0,0.0002,2026-09-07T05:25:52.417911Z
NA000438,P000164,0.0086,0.0053,0.0014,2026-09-07T05:25:52.417920Z
NA000439,PH000206,0.0005,0,0.0001,2026-09-07T05:25:52.417928Z
NA000440,P000165,0.0086,0.0085,0.0015,2026-09-07T05:25:52.417936Z
NA000441,PH000207,0.0005,0,0.0002,2026-09-07T05:25:52.417944Z
NA000442,PH000208,0.0005,0,0.0002,2026-09-07T05:25:52.417953Z
NA000443,P000166,0.007,0.002,0.0014,2026-09-07T05:25:52.417961Z
NA000444,PH000209,0.0005,0,0.0001,2026-09-07T05:25:52.417970Z
NA000445,PH000210,0.0005,0,0.0002,2026-09-07T05:25:52.417977Z
NA000446,P000168,0.0097,0.0096,0.0017,2026-09-07T05:25:52.417986Z
NA000447,PH000211,0.0005,0,0.0001,2026-09-07T05:25:52.417994Z
NA000448,PH000213,0.0005,0,0.0001,2026-09-07T05:25:52.418002Z
NA000449,P000170,0.0081,0.0092,0.0014,2026-09-07T05:25:52.418010Z
NA000450,PH000214,0.0005,0,0.0002,2026-09-07T05:25:52.418018Z
NA000451,PH000215,0.0005,0,0.0002,2026-09-07T05:25:52.418026Z
NA000452,P000171,0.0059,0.0028,0.0011,2026-09-07T05:25:52.418034Z
NA000453,PH000216,0.0005,0,0.0002,2026-09-07T05:25:52.418042Z
NA000454,P000172,0.0081,0.0033,0.0013,2026-09-07T05:25:52.418050Z
NA000455,PH000217,0.0005,0,0.0002,2026-09-07T05:25:52.418059Z
NA000456,P000173,0.0102,0.0069,0.0017,2026-09-07T05:25:52.418067Z
NA000457,PH000218,0.0005,0,0.0002,2026-09-07T05:25:52.418075Z
NA000458,PH000219,0.0005,0,0.0002,2026-09-07T05:25:52.418084Z
NA000459,P000174,0.0086,0.0038,0.0015,2026-09-07T05:25:52.418093Z
NA000460,PH000220,0.0005,0,0.0002,2026-09-07T05:25:52.418101Z
NA000461,P000175,0.0113,0.005,0.0021,2026-09-07T05:25:52.418109Z
NA000462,PH000221,0.0005,0,0.0001,2026-09-07T05:25:52.418118Z
NA000463,P000176,0.0075,0.0025,0.0014,2026-09-07T05:25:52.418126Z
NA000464,PH000222,0.0005,0,0.0002,2026-09-07T05:25:52.418134Z
NA000465,P000177,0.007,0.0136,0.0012,2026-09-07T05:25:52.418142Z
NA000466,PH000223,0.0005,0,0.0002,2026-09-07T05:25:52.418151Z
NA000467,P000178,0.0086,0.0074,0.0014,2026-09-07T05:25:52.418159Z
NA000468,PH000224,0.0005,0,0.0001,2026-09-07T05:25:52.418167Z
NA000469,PH000225,0.0005,0,0.0002,2026-09-07T05:25:52.418175Z
NA000470,PH000226,0.0005,0,0.0002,2026-09-07T05:25:52.418184Z
NA000471,P000180,0.0059,0.0024,0.0011,2026-09-07T05:25:52.418192Z
NA000472,PH000227,0.0005,0,0.0002,2026-09-07T05:25:52.418199Z
NA000473,P000181,0.0086,0.0055,0.0013,2026-09-07T05:25:52.418206Z
NA000474,PH000228,0.0005,0,0.0002,2026-09-07T05:25:52.418212Z
NA000475,PH000229,0.0005,0,0.0001,2026-09-07T05:25:52.418219Z
NA000476,P000183,0.0075,0.0052,0.0013,2026-09-07T05:25:52.418226Z
NA000477,PH000230,0.0005,0,0.0002,2026-09-07T05:25:52.418250Z
NA000478,P000184,0.0075,0.0056,0.0013,2026-09-07T05:25:52.418258Z
NA000479,PH000231,0.0005,0,0.0002,2026-09-07T05:25:52.418266Z
NA000480,P000185,0.0054,0.0025,0.0009,2026-09-07T05:25:52.418273Z
NA000481,PH000232,0.0005,0,0.0002,2026-09-07T05:25:52.418281Z
NA000482,P000186,0.0054,0.0125,0.0011,2026-09-07T05:25:52.418289Z
NA000483,PH000233,0.0005,0,0.0002,2026-09-07T05:25:52.418296Z
NA000484,P000187,0.0075,0.0029,0.0012,2026-09-07T05:25:52.418303Z
NA000485,PH000234,0.0005,0,0.0002,2026-09-07T05:25:52.418311Z
NA000486,P000188,0.0086,0.0095,0.0014,2026-09-07T05:25:52.418319Z
NA000487,PH000235,0.0005,0,0.0002,2026-09-07T05:25:52.418326Z
NA000488,P000189,0.0064,0.0129,0.0012,2026-09-07T05:25:52.418334Z
NA000489,PH000236,0.0005,0,0.0002,2026-09-07T05:25:52.418341Z
NA000490,P000190,0.007,0.0036,0.0013,2026-09-07T05:25:52.418349Z
NA000491,PH000237,0.0005,0,0.0002,2026-09-07T05:25:52.418357Z
NA000492,P000191,0.0059,0.0016,0.001,2026-09-07T05:25:52.418365Z
NA000493,PH000238,0.0005,0,0.0002,2026-09-07T05:25:52.418373Z
NA000494,P000192,0.0075,0.0045,0.0012,2026-09-07T05:25:52.418381Z
NA000495,PH000239,0.0005,0,0.0002,2026-09-07T05:25:52.418388Z
NA000496,P000193,0.0086,0.0039,0.0015,2026-09-07T05:25:52.418396Z
NA000497,PH000240,0.0005,0,0.0002,2026-09-07T05:25:52.418404Z
NA000498,P000194,0.0059,0.0029,0.0011,2026-09-07T05:25:52.418413Z
NA000499,PH000241,0.0005,0,0.0002,2026-09-07T05:25:52.418421Z
NA000500,P000195,0.0064,0.0135,0.0011,2026-09-07T05:25:52.418428Z
NA000501,PH000242,0.0005,0,0.0002,2026-09-07T05:25:52.418436Z
NA000502,P000196,0.0081,0.0102,0.0012,2026-09-07T05:25:52.418444Z
NA000503,PH000243,0.0005,0,0.0002,2026-09-07T05:25:52.418451Z
NA000504,PH000245,0.0005,0,0.0001,2026-09-07T05:25:52.418458Z
NA000505,P000198,0.0075,0.0082,0.0016,2026-09-07T05:25:52.418465Z
NA000506,PH000246,0.0005,0,0.0002,2026-09-07T05:25:52.418471Z
NA000507,P000199,0.0097,0.0104,0.0018,2026-09-07T05:25:52.418479Z
NA000508,PH000247,0.0005,0,0.0001,2026-09-07T05:25:52.418486Z
NA000509,P000200,0.0059,0.0021,0.0013,2026-09-07T05:25:52.418493Z
NA000510,PH000248,0.0005,0,0.0002,2026-09-07T05:25:52.418500Z
NA000511,PH000249,0.0005,0,0.0001,2026-09-07T05:25:52.418507Z
NA000512,P000202,0.0064,0.0029,0.0013,2026-09-07T05:25:52.418515Z
NA000513,PH000250,0.0005,0,0.0002,2026-09-07T05:25:52.418522Z
NA000514,P000203,0.0059,0.0069,0.0013,2026-09-07T05:25:52.418529Z
NA000515,PH000251,0.0005,0,0.0002,2026-09-07T05:25:52.418536Z
NA000516,P000204,0.007,0.008,0.0015,2026-09-07T05:25:52.418544Z
NA000517,PH000252,0.0005,0,0.0001,2026-09-07T05:25:52.418551Z
NA000518,P000206,0.0043,0.0033,0.0008,2026-09-07T05:25:52.418558Z
NA000519,PH000253,0.0005,0,0.0002,2026-09-07T05:25:52.418565Z
NA000520,PH000254,0.0005,0,0.0002,2026-09-07T05:25:52.418573Z
NA000521,P000208,0.0021,0.0011,0.0005,2026-09-07T05:25:52.418580Z
NA000522,PH000255,0.0005,0,0.0002,2026-09-07T05:25:52.418589Z
NA000523,P000209,0.0032,0.0018,0.0008,2026-09-07T05:25:52.418597Z
NA000524,PH000256,0.0005,0,0.0002,2026-09-07T05:25:52.418604Z
NA000525,P000210,0.0113,0.0093,0.0016,2026-09-07T05:25:52.418611Z
NA000526,PH000257,0.0005,0,0.0001,2026-09-07T05:25:52.418618Z
NA000527,P000212,0.0043,0.0072,0.0007,2026-09-07T05:25:52.418626Z
NA000528,PH000258,0.0005,0,0.0002,2026-09-07T05:25:52.418633Z
NA000529,P000213,0.0032,0.0012,0.0005,2026-09-07T05:25:52.418641Z
NA000530,PH000259,0.0005,0,0.0002,2026-09-07T05:25:52.418649Z
NA000531,P000215,0.0054,0.0023,0.0009,2026-09-07T05:25:52.418656Z
NA000532,PH000260,0.0005,0,0.0002,2026-09-07T05:25:52.418664Z
NA000533,P000218,0.0054,0.0089,0.0009,2026-09-07T05:25:52.418672Z
NA000534,PH000261,0.0005,0,0.0002,2026-09-07T05:25:52.418679Z
NA000535,P000219,0.0059,0.004,0.0009,2026-09-07T05:25:52.418687Z
NA000536,PH000262,0.0005,0,0.0001,2026-09-07T05:25:52.418695Z
NA000537,P000220,0.0038,0.0062,0.0006,2026-09-07T05:25:52.418702Z
NA000538,PH000263,0.0005,0,0.0002,2026-09-07T05:25:52.418709Z
NA000539,P000221,0.0021,0.0011,0.0006,2026-09-07T05:25:52.418716Z
NA000540,PH000264,0.0005,0,0.0002,2026-09-07T05:25:52.418723Z
NA000541,P000224,0.0081,0.009,0.0012,2026-09-07T05:25:52.418731Z
NA000542,PH000265,0.0005,0,0.0001,2026-09-07T05:25:52.418738Z
NA000543,P000225,0.0043,0.0019,0.0008,2026-09-07T05:25:52.418745Z
NA000544,PH000266,0.0005,0,0.0002,2026-09-07T05:25:52.418753Z
NA000545,P000226,0.0038,0.0011,0.0007,2026-09-07T05:25:52.418758Z
NA000546,PH000267,0.0005,0,0.0002,2026-09-07T05:25:52.418763Z
NA000547,PH000268,0.0005,0,0.0002,2026-09-07T05:25:52.418768Z
NA000548,P000231,0.0129,0.0084,0.0018,2026-09-07T05:25:52.418772Z
NA000549,PH000269,0.0005,0,0.0001,2026-09-07T05:25:52.418777Z
NA000550,P000233,0.0032,0.0071,0.0006,2026-09-07T05:25:52.418782Z
NA000551,PH000270,0.0005,0,0.0002,2026-09-07T05:25:52.418787Z
NA000552,P000236,0.0043,0.0021,0.0007,2026-09-07T05:25:52.418792Z
NA000553,PH000271,0.0005,0,0.0002,2026-09-07T05:25:52.418796Z
NA000554,P000237,0.0064,0.0102,0.001,2026-09-07T05:25:52.418801Z
NA000555,PH000272,0.0005,0,0.0001,2026-09-07T05:25:52.418806Z
NA000556,P000238,0.0032,0.0008,0.0005,2026-09-07T05:25:52.418811Z
NA000557,PH000273,0.0005,0,0.0002,2026-09-07T05:25:52.418815Z
NA000558,P000240,0.0021,0.0006,0.0004,2026-09-07T05:25:52.418820Z
NA000559,PH000274,0.0005,0,0.0002,2026-09-07T05:25:52.418825Z
NA000560,P000241,0.0032,0.001,0.0005,2026-09-07T05:25:52.418830Z
NA000561,PH000275,0.0005,0,0.0002,2026-09-07T05:25:52.418834Z
NA000562,PH000276,0.0005,0,0.0002,2026-09-07T05:25:52.418838Z
NA000563,P000245,0.0038,0.0017,0.0008,2026-09-07T05:25:52.418843Z
NA000564,PH000277,0.0005,0,0.0002,2026-09-07T05:25:52.418848Z
NA000565,P000247,0.0048,0.0028,0.0008,2026-09-07T05:25:52.418852Z
NA000566,PH000278,0.0005,0,0.0002,2026-09-07T05:25:52.418857Z
NA000567,P000248,0.0043,0.0024,0.0007,2026-09-07T05:25:52.418862Z
NA000568,PH000279,0.0005,0,0.0002,2026-09-07T05:25:52.418867Z
NA000569,PH000280,0.0005,0,0.0002,2026-09-07T05:25:52.418871Z
NA000570,PH000281,0.0005,0,0.0002,2026-09-07T05:25:52.418875Z
NA000571,P000257,0.0054,0.0024,0.0009,2026-09-07T05:25:52.418880Z
NA000572,PH000282,0.0005,0,0.0002,2026-09-07T05:25:52.418885Z
NA000573,P000261,0.0038,0.0013,0.0007,2026-09-07T05:25:52.418890Z
NA000574,PH000283,0.0005,0,0.0002,2026-09-07T05:25:52.418894Z
NA000575,P000264,0.0043,0.002,0.0007,2026-09-07T05:25:52.418900Z
NA000576,PH000284,0.0005,0,0.0002,2026-09-07T05:25:52.418904Z
NA000577,P000265,0.0032,0.0063,0.0006,2026-09-07T05:25:52.418909Z
NA000578,PH000285,0.0005,0,0.0002,2026-09-07T05:25:52.418914Z
NA000579,P000266,0.0038,0.0015,0.0006,2026-09-07T05:25:52.418918Z
NA000580,PH000286,0.0005,0,0.0002,2026-09-07T05:25:52.418923Z
NA000581,P000267,0.0048,0.0027,0.0008,2026-09-07T05:25:52.418927Z
NA000582,PH000287,0.0005,0,0.0002,2026-09-07T05:25:52.418932Z
NA000583,P000270,0.0027,0.001,0.0005,2026-09-07T05:25:52.418937Z
NA000584,PH000288,0.0005,0,0.0002,2026-09-07T05:25:52.418942Z
NA000585,P000271,0.0048,0.0028,0.0008,2026-09-07T05:25:52.418946Z
NA000586,PH000289,0.0005,0,0.0002,2026-09-07T05:25:52.418951Z
NA000587,P000272,0.0038,0.0028,0.0006,2026-09-07T05:25:52.418955Z
NA000588,PH000290,0.0005,0,0.0002,2026-09-07T05:25:52.418960Z
NA000589,P000273,0.0043,0.0017,0.0007,2026-09-07T05:25:52.418965Z
NA000590,PH000291,0.0005,0,0.0002,2026-09-07T05:25:52.418969Z
NA000591,P000276,0.0048,0.0069,0.0008,2026-09-07T05:25:52.418974Z
NA000592,PH000292,0.0005,0,0.0002,2026-09-07T05:25:52.418978Z
NA000593,P000279,0.0032,0.0009,0.0006,2026-09-07T05:25:52.418983Z
NA000594,PH000293,0.0005,0,0.0002,2026-09-07T05:25:52.418989Z
NA000595,P000280,0.0048,0.0072,0.0009,2026-09-07T05:25:52.418993Z
NA000596,PH000294,0.0005,0,0.0002,2026-09-07T05:25:52.418998Z
NA000597,P000281,0.0038,0.0014,0.0007,2026-09-07T05:25:52.419002Z
NA000598,PH000295,0.0005,0,0.0002,2026-09-07T05:25:52.419006Z
NA000599,P000282,0.0048,0.0027,0.0009,2026-09-07T05:25:52.419011Z
NA000600,PH000296,0.0005,0,0.0002,2026-09-07T05:25:52.419015Z
NA000601,P000287,0.0032,0.0011,0.0005,2026-09-07T05:25:52.419020Z
NA000602,PH000297,0.0005,0,0.0002,2026-09-07T05:25:52.419024Z
NA000603,P000289,0.0038,0.0013,0.0006,2026-09-07T05:25:52.419029Z
NA000604,PH000298,0.0005,0,0.0002,2026-09-07T05:25:52.419034Z
NA000605,P000294,0.0123,0.0106,0.0018,2026-09-07T05:25:52.419038Z
NA000606,PH000299,0.0005,0,0.0001,2026-09-07T05:25:52.419043Z
NA000607,P000295,0.0032,0.0009,0.0005,2026-09-07T05:25:52.419048Z
NA000608,PH000300,0.0005,0,0.0002,2026-09-07T05:25:52.419052Z
NA000609,P000299,0.0038,0.0022,0.0008,2026-09-07T05:25:52.419057Z
NA000610,PH000301,0.0005,0,0.0002,2026-09-07T05:25:52.419062Z
NA000611,P000301,0.0064,0.004,0.001,2026-09-07T05:25:52.419066Z
NA000612,PH000302,0.0005,0,0.0002,2026-09-07T05:25:52.419071Z
NA000613,P000302,0.0043,0.0017,0.0007,2026-09-07T05:25:52.419076Z
NA000614,PH000303,0.0005,0,0.0002,2026-09-07T05:25:52.419083Z
NA000615,P000304,0.0054,0.003,0.0009,2026-09-07T05:25:52.419091Z
NA000616,PH000304,0.0005,0,0.0002,2026-09-07T05:25:52.419098Z
NA000617,P000305,0.0038,0.0014,0.0006,2026-09-07T05:25:52.419105Z
NA000618,PH000305,0.0005,0,0.0002,2026-09-07T05:25:52.419113Z
NA000619,P000307,0.0032,0.0018,0.0006,2026-09-07T05:25:52.419120Z
NA000620,PH000306,0.0005,0,0.0002,2026-09-07T05:25:52.419128Z
NA000621,P000309,0.0021,0.0008,0.0005,2026-09-07T05:25:52.419136Z
NA000622,PH000307,0.0005,0,0.0002,2026-09-07T05:25:52.419141Z
NA000623,P000311,0.0038,0.0019,0.0006,2026-09-07T05:25:52.419146Z
NA000624,PH000308,0.0005,0,0.0002,2026-09-07T05:25:52.419151Z
NA000625,P000313,0.007,0.0035,0.0011,2026-09-07T05:25:52.419156Z
NA000626,PH000309,0.0005,0,0.0002,2026-09-07T05:25:52.419160Z
NA000627,P000314,0.0027,0.0072,0.0005,2026-09-07T05:25:52.419165Z
NA000628,PH000310,0.0005,0,0.0002,2026-09-07T05:25:52.419169Z
NA000629,P000315,0.0032,0.0024,0.0007,2026-09-07T05:25:52.419174Z
NA000630,PH000311,0.0005,0,0.0002,2026-09-07T05:25:52.419178Z
NA000631,P000319,0.0091,0.0042,0.0013,2026-09-07T05:25:52.419183Z
NA000632,PH000312,0.0005,0,0.0001,2026-09-07T05:25:52.419188Z
NA000633,P000321,0.0043,0.0037,0.0009,2026-09-07T05:25:52.419192Z
NA000634,PH000313,0.0005,0,0.0002,2026-09-07T05:25:52.419197Z
NA000635,P000322,0.0027,0.0013,0.0005,2026-09-07T05:25:52.419201Z
NA000636,PH000314,0.0005,0,0.0002,2026-09-07T05:25:52.419206Z
NA000637,P000324,0.0038,0.0014,0.0006,2026-09-07T05:25:52.419210Z
NA000638,PH000315,0.0005,0,0.0002,2026-09-07T05:25:52.419215Z
NA000639,P000326,0.0032,0.0019,0.0006,2026-09-07T05:25:52.419219Z
NA000640,PH000316,0.0005,0,0.0002,2026-09-07T05:25:52.419224Z
NA000641,P000333,0.0129,0.0073,0.0018,2026-09-07T05:25:52.419228Z
NA000642,PH000317,0.0005,0,0.0001,2026-09-07T05:25:52.419233Z
NA000643,P000334,0.0021,0.0018,0.0005,2026-09-07T05:25:52.419237Z
NA000644,PH000318,0.0005,0,0.0002,2026-09-07T05:25:52.419242Z
NA000645,PH000319,0.0005,0,0.0002,2026-09-07T05:25:52.419246Z
NA000646,P000339,0.0043,0.002,0.0008,2026-09-07T05:25:52.419251Z
NA000647,PH000320,0.0005,0,0.0002,2026-09-07T05:25:52.419263Z
NA000648,P000341,0.0038,0.001,0.0007,2026-09-07T05:25:52.419270Z
NA000649,PH000321,0.0005,0,0.0002,2026-09-07T05:25:52.419278Z
NA000650,P000342,0.0021,0.0007,0.0004,2026-09-07T05:25:52.419285Z
NA000651,PH000322,0.0005,0,0.0002,2026-09-07T05:25:52.419292Z
NA000652,P000343,0.0048,0.0032,0.0008,2026-09-07T05:25:52.419299Z
NA000653,PH000323,0.0005,0,0.0002,2026-09-07T05:25:52.419307Z
NA000654,P000344,0.0043,0.0032,0.0008,2026-09-07T05:25:52.419315Z
NA000655,PH000324,0.0005,0,0.0002,2026-09-07T05:25:52.419323Z
NA000656,P000346,0.0054,0.0028,0.0009,2026-09-07T05:25:52.419330Z
NA000657,PH000325,0.0005,0,0.0002,2026-09-07T05:25:52.419338Z
NA000658,P000349,0.0038,0.0014,0.0006,2026-09-07T05:25:52.419345Z
NA000659,PH000326,0.0005,0,0.0002,2026-09-07T05:25:52.419352Z
NA000660,P000350,0.0054,0.0035,0.0009,2026-09-07T05:25:52.419360Z
NA000661,PH000327,0.0005,0,0.0002,2026-09-07T05:25:52.419367Z
NA000662,PH000328,0.0005,0,0.0001,2026-09-07T05:25:52.419372Z
NA000663,P000356,0.0048,0.0012,0.0008,2026-09-07T05:25:52.419377Z
NA000664,PH000329,0.0005,0,0.0002,2026-09-07T05:25:52.419382Z
NA000665,P000357,0.0027,0.0063,0.0005,2026-09-07T05:25:52.419387Z
NA000666,PH000330,0.0005,0,0.0002,2026-09-07T05:25:52.419391Z
NA000667,P000358,0.0043,0.0025,0.0007,2026-09-07T05:25:52.419396Z
NA000668,PH000331,0.0005,0,0.0002,2026-09-07T05:25:52.419401Z
NA000669,PH000332,0.0005,0,0.0002,2026-09-07T05:25:52.419406Z
NA000670,P000361,0.0048,0.0017,0.0008,2026-09-07T05:25:52.419410Z
NA000671,PH000333,0.0005,0,0.0002,2026-09-07T05:25:52.419415Z
NA000672,P000367,0.0038,0.0128,0.0008,2026-09-07T05:25:52.419420Z
NA000673,PH000334,0.0005,0,0.0002,2026-09-07T05:25:52.419424Z
NA000674,P000369,0.0027,0.0009,0.0005,2026-09-07T05:25:52.419430Z
NA000675,PH000335,0.0005,0,0.0002,2026-09-07T05:25:52.419435Z
NA000676,P000370,0.0021,0.0007,0.0004,2026-09-07T05:25:52.419439Z
NA000677,PH000336,0.0005,0,0.0002,2026-09-07T05:25:52.419445Z
NA000678,P000373,0.0048,0.0019,0.0009,2026-09-07T05:25:52.419450Z
NA000679,PH000337,0.0005,0,0.0002,2026-09-07T05:25:52.419454Z
NA000680,P000374,0.0038,0.0016,0.0007,2026-09-07T05:25:52.419459Z
NA000681,PH000338,0.0005,0,0.0002,2026-09-07T05:25:52.419463Z
