id,location_id,person_id,vehicle_id,observed_at,notes,data_source
SR000209,LOC000030,P000513,,2025-02-23T01:09:46Z,Vehicle sighting captured by ANPR at Ganapathy Junction,SYNTHETIC
SR000210,LOC000031,P000046,,2024-02-15T16:20:55Z,Vehicle sighting captured by ANPR at Peelamedu Textile Mill,SYNTHETIC
SR000211,LOC000050,P000530,,2026-07-03T20:30:47Z,Routine patrol log entry - Ganapathy Bus Terminus,SYNTHETIC
SR000212,LOC000021,P000217,,2026-01-14T21:14:12Z,Vehicle sighting captured by ANPR at Valluvar Layout Harbour Gate,SYNTHETIC
SR000213,LOC000036,P000519,VH000211,2026-01-10T17:52:11Z,Vehicle sighting captured by ANPR at Pothigai Nagar Oil Depot,SYNTHETIC
SR000214,LOC000043,P000217,,2025-09-12T23:37:51Z,Subject met unidentified associate at Sowdambika Layout Night Bazaar,SYNTHETIC
SR000215,LOC000042,P000534,,2026-04-11T16:19:30Z,Subject used phone while parked near Chromepet Agro Market,SYNTHETIC
SR000216,LOC000038,P000092,,2025-12-15T01:13:53Z,CCTV frame captured at Tambaram Toll Plaza toll plaza,SYNTHETIC
SR000217,LOC000043,P000357,,2025-03-01T21:43:18Z,Vehicle sighting captured by ANPR at Sowdambika Layout Night Bazaar,SYNTHETIC
SR000218,LOC000057,P000493,,2026-01-24T00:08:42Z,Subject observed on foot near Azhagar Koil Road Fuel Station,SYNTHETIC
SR000219,LOC000002,P000575,VH000135,2024-11-21T12:18:14Z,CCTV frame captured at Velachery Oil Depot toll plaza,SYNTHETIC
SR000220,LOC000043,P000541,,2026-03-13T00:37:25Z,Vehicle sighting captured by ANPR at Sowdambika Layout Night Bazaar,SYNTHETIC
SR000221,LOC000050,P000152,,2025-03-02T11:58:08Z,Subject observed on foot near Ganapathy Bus Terminus,SYNTHETIC
SR000222,LOC000060,P000013,,2026-02-15T11:28:26Z,Routine patrol log entry - Ukkadam Cold Storage,SYNTHETIC
SR000223,LOC000023,P000438,VH000098,2026-05-16T15:40:16Z,CCTV frame captured at Sundarankottai Fuel Station toll plaza,SYNTHETIC
SR000224,LOC000018,P000446,,2026-07-01T16:56:10Z,Subject observed on foot near Anna Nagar Bus Terminus,SYNTHETIC
SR000225,LOC000059,P000598,,2025-09-16T05:34:42Z,CCTV frame captured at RS Puram Agro Market toll plaza,SYNTHETIC
SR000226,LOC000023,P000285,,2026-01-28T05:03:52Z,Vehicle sighting captured by ANPR at Sundarankottai Fuel Station,SYNTHETIC
SR000227,LOC000004,P000516,,2024-01-18T13:12:11Z,Vehicle sighting captured by ANPR at Chokkanadar Harbour Police Station,SYNTHETIC
SR000228,LOC000031,P000028,,2024-06-09T19:26:37Z,Subject met unidentified associate at Peelamedu Textile Mill,SYNTHETIC
SR000229,LOC000008,P000225,,2026-04-24T11:08:48Z,CCTV frame captured at Ambattur Warehouse Complex toll plaza,SYNTHETIC
SR000230,LOC000030,P000284,VH000162,2026-05-06T11:34:13Z,Routine patrol log entry - Ganapathy Junction,SYNTHETIC
SR000231,LOC000032,P000234,VH000096,2025-10-20T09:19:00Z,Subject used phone while parked near Bharathi Bazaar Agro Market,SYNTHETIC
SR000232,LOC000028,P000223,,2025-01-30T17:01:34Z,Subject used phone while parked near Ganapathy Mandi,SYNTHETIC
SR000233,LOC000026,P000241,,2024-12-21T12:32:03Z,Routine patrol log entry - Kajamalai Industrial Estate,SYNTHETIC
SR000234,LOC000005,P000351,,2024-09-21T13:47:00Z,Vehicle sighting captured by ANPR at Kajamalai Junction,SYNTHETIC
SR000235,LOC000009,P000172,,2024-08-10T08:00:57Z,CCTV frame captured at Chokkanadar Pettai Oil Depot toll plaza,SYNTHETIC
SR000236,LOC000006,P000397,,2024-04-21T20:17:18Z,CCTV frame captured at Pappanaickenpalayam Bridge End toll plaza,SYNTHETIC
SR000237,LOC000061,P000150,,2024-07-07T21:13:59Z,Routine patrol log entry - Central Market Junction,SYNTHETIC
SR000238,LOC000061,P000313,,2026-03-21T07:37:47Z,CCTV frame captured at Central Market Junction toll plaza,SYNTHETIC
SR000239,LOC000012,P000310,VH000173,2024-12-31T17:11:04Z,Routine patrol log entry - KK Nagar Night Bazaar,SYNTHETIC
SR000240,LOC000046,P000037,VH000025,2024-11-14T07:29:42Z,Subject observed on foot near Royapuram Fuel Station,SYNTHETIC
SR000241,LOC000030,P000088,,2026-02-11T03:03:50Z,Subject met unidentified associate at Ganapathy Junction,SYNTHETIC
SR000242,LOC000022,P000251,,2024-09-26T04:26:51Z,Routine patrol log entry - Nellithope Cold Storage,SYNTHETIC
SR000243,LOC000002,P000528,VH000202,2024-07-16T01:46:40Z,Subject used phone while parked near Velachery Oil Depot,SYNTHETIC
SR000244,LOC000015,P000595,,2024-07-25T18:32:20Z,Routine patrol log entry - Valluvar Layout Night Bazaar,SYNTHETIC
SR000245,LOC000008,P000213,,2025-04-05T06:38:25Z,CCTV frame captured at Ambattur Warehouse Complex toll plaza,SYNTHETIC
SR000246,LOC000004,P000166,,2026-03-01T19:36:12Z,Subject observed on foot near Chokkanadar Harbour Police Station,SYNTHETIC
SR000247,LOC000022,P000483,VH000152,2026-02-23T02:10:24Z,Vehicle sighting captured by ANPR at Nellithope Cold Storage,SYNTHETIC
SR000248,LOC000026,P000158,VH000199,2025-07-13T07:30:19Z,Vehicle TN39 VL 9163 (sedan) recorded entering Kajamalai Industrial Estate,SYNTHETIC
SR000249,LOC000014,P000359,,2024-07-14T13:33:53Z,CCTV frame captured at Estancia Bridge End toll plaza,SYNTHETIC
SR000250,LOC000005,P000055,,2024-11-15T18:43:51Z,Subject used phone while parked near Kajamalai Junction,SYNTHETIC
SR000251,LOC000030,P000330,,2026-02-20T10:58:33Z,Subject used phone while parked near Ganapathy Junction,SYNTHETIC
SR000252,LOC000003,P000253,VH000153,2024-01-25T01:16:25Z,Subject used phone while parked near Thirunagar Cold Storage,SYNTHETIC
SR000253,LOC000053,P000236,,2026-01-30T06:19:19Z,Routine patrol log entry - Mettupalayam Wholesale Market,SYNTHETIC
SR000254,LOC000052,P000324,,2024-10-20T19:23:58Z,CCTV frame captured at Coimbatore Junction Construction Site toll plaza,SYNTHETIC
SR000255,LOC000042,P000622,,2026-01-25T07:43:36Z,Subject observed on foot near Chromepet Agro Market,SYNTHETIC
SR000256,LOC000021,P000509,,2026-05-02T01:51:44Z,Subject used phone while parked near Valluvar Layout Harbour Gate,SYNTHETIC
SR000257,LOC000028,P000440,VH000202,2024-12-17T16:43:36Z,Routine patrol log entry - Ganapathy Mandi,SYNTHETIC
SR000258,LOC000031,P000046,,2024-04-24T11:39:24Z,Subject met unidentified associate at Peelamedu Textile Mill,SYNTHETIC
SR000259,LOC000002,P000037,VH000025,2024-01-04T16:36:06Z,Routine patrol log entry - Velachery Oil Depot,SYNTHETIC
SR000260,LOC000027,P000430,VH000080,2025-11-23T02:22:04Z,Subject met unidentified associate at Mettupalayam Cold Storage,SYNTHETIC
SR000261,LOC000025,P000362,,2024-01-20T01:20:01Z,Routine patrol log entry - Anna Nagar Check Post,SYNTHETIC
SR000262,LOC000061,P000571,VH000225,2025-02-02T01:09:26Z,CCTV frame captured at Central Market Junction toll plaza,SYNTHETIC
SR000263,LOC000020,P000614,,2025-05-26T07:59:47Z,Subject met unidentified associate at Mylapore City Police Station,SYNTHETIC
SR000264,LOC000019,P000516,VH000048,2024-09-28T00:02:00Z,CCTV frame captured at Meenakshi Nagar Agro Market toll plaza,SYNTHETIC
SR000265,LOC000044,P000432,,2024-09-18T07:40:38Z,Routine patrol log entry - Sulur Check Post,SYNTHETIC
SR000266,LOC000011,P000212,,2026-02-12T18:55:26Z,Subject used phone while parked near Peelamedu Harbour Gate,SYNTHETIC
SR000267,LOC000061,P000436,,2024-04-16T17:51:05Z,Subject met unidentified associate at Central Market Junction,SYNTHETIC
SR000268,LOC000050,P000302,,2025-03-27T11:58:19Z,Subject observed on foot near Ganapathy Bus Terminus,SYNTHETIC
SR000269,LOC000039,P000409,,2025-11-21T06:37:20Z,Vehicle sighting captured by ANPR at Thirunagar Industrial Estate,SYNTHETIC
SR000270,LOC000001,P000409,,2024-04-23T06:29:36Z,Subject used phone while parked near Ganapathy City Police Station,SYNTHETIC
SR000271,LOC000019,P000038,,2025-02-01T05:07:57Z,Routine patrol log entry - Meenakshi Nagar Agro Market,SYNTHETIC
SR000272,LOC000046,P000478,,2025-06-09T15:11:24Z,CCTV frame captured at Royapuram Fuel Station toll plaza,SYNTHETIC
SR000273,LOC000061,P000509,,2026-07-07T12:50:22Z,Subject used phone while parked near Central Market Junction,SYNTHETIC
SR000274,LOC000057,P000204,,2025-04-04T14:12:59Z,Subject used phone while parked near Azhagar Koil Road Fuel Station,SYNTHETIC
SR000275,LOC000051,P000059,VH000039,2024-11-05T23:23:37Z,Vehicle sighting captured by ANPR at Chokkanadar Pettai Outer Ring Road,SYNTHETIC
SR000276,LOC000050,P000148,VH000070,2026-05-03T16:12:44Z,CCTV frame captured at Ganapathy Bus Terminus toll plaza,SYNTHETIC
SR000277,LOC000029,P000506,,2024-02-05T00:38:59Z,Subject observed on foot near Estancia Fuel Station,SYNTHETIC
SR000278,LOC000035,P000376,,2025-07-06T19:05:20Z,Subject used phone while parked near Arumbakkam Godown Compound,SYNTHETIC
SR000279,LOC000025,P000400,,2024-07-29T09:15:46Z,Vehicle sighting captured by ANPR at Anna Nagar Check Post,SYNTHETIC
SR000280,LOC000052,P000291,VH000001,2024-05-08T15:34:37Z,Subject observed on foot near Coimbatore Junction Construction Site,SYNTHETIC
SR000281,LOC000033,P000178,VH000056,2025-11-19T08:49:51Z,Vehicle TN43 LD 6507 (autorickshaw) recorded entering Ukkadam Toll Plaza,SYNTHETIC
SR000282,LOC000023,P000456,,2025-04-07T21:57:48Z,Routine patrol log entry - Sundarankottai Fuel Station,SYNTHETIC
SR000283,LOC000011,P000589,,2024-11-24T18:41:00Z,Vehicle sighting captured by ANPR at Peelamedu Harbour Gate,SYNTHETIC
SR000284,LOC000014,P000145,,2025-03-24T22:22:27Z,Routine patrol log entry - Estancia Bridge End,SYNTHETIC
SR000285,LOC000011,P000082,,2025-08-14T00:31:24Z,Subject observed on foot near Peelamedu Harbour Gate,SYNTHETIC
SR000286,LOC000054,P000558,,2026-04-23T00:05:02Z,Routine patrol log entry - Kallamadu Agro Market,SYNTHETIC
SR000287,LOC000019,P000281,VH000160,2024-06-18T10:24:22Z,Subject observed on foot near Meenakshi Nagar Agro Market,SYNTHETIC
SR000288,LOC000037,P000142,,2024-10-15T21:32:29Z,Routine patrol log entry - Chokkanadar Pettai Textile Mill,SYNTHETIC
SR000289,LOC000058,P000493,VH000219,2026-02-22T13:52:07Z,Vehicle sighting captured by ANPR at Anna Nagar Lorry Park,SYNTHETIC
SR000290,LOC000034,P000422,,2024-08-04T12:35:19Z,CCTV frame captured at Mattuthavani Junction toll plaza,SYNTHETIC
SR000291,LOC000045,P000124,,2025-03-19T07:16:21Z,Subject met unidentified associate at Pothigai Nagar Toll Plaza,SYNTHETIC
SR000292,LOC000040,P000366,,2026-05-10T15:47:17Z,Subject observed on foot near Gandhipuram Textile Mill,SYNTHETIC
SR000293,LOC000055,P000305,,2025-05-05T07:48:22Z,Routine patrol log entry - Kuruvikulam Construction Site,SYNTHETIC
SR000294,LOC000015,P000420,VH000197,2024-12-19T04:03:18Z,CCTV frame captured at Valluvar Layout Night Bazaar toll plaza,SYNTHETIC
SR000295,LOC000060,P000125,VH000084,2025-04-25T03:01:22Z,Subject observed on foot near Ukkadam Cold Storage,SYNTHETIC
SR000296,LOC000035,P000139,VH000093,2026-04-28T01:32:45Z,CCTV frame captured at Arumbakkam Godown Compound toll plaza,SYNTHETIC
SR000297,LOC000019,P000394,,2025-03-17T00:26:02Z,CCTV frame captured at Meenakshi Nagar Agro Market toll plaza,SYNTHETIC
SR000298,LOC000039,P000445,VH000205,2024-08-21T00:58:05Z,Subject observed on foot near Thirunagar Industrial Estate,SYNTHETIC
SR000299,LOC000027,P000420,,2024-04-19T10:29:59Z,Subject met unidentified associate at Mettupalayam Cold Storage,SYNTHETIC
SR000300,LOC000054,P000331,,2025-11-07T22:20:11Z,Subject observed on foot near Kallamadu Agro Market,SYNTHETIC
SR000301,LOC000021,P000598,,2026-06-12T22:33:43Z,Routine patrol log entry - Valluvar Layout Harbour Gate,SYNTHETIC
SR000302,LOC000021,P000463,,2024-01-14T02:10:30Z,CCTV frame captured at Valluvar Layout Harbour Gate toll plaza,SYNTHETIC
SR000303,LOC000047,P000611,VH000227,2026-07-30T08:27:35Z,Routine patrol log entry - Azhagar Koil Road Junction,SYNTHETIC
SR000304,LOC000023,P000164,VH000198,2026-08-29T04:27:22Z,Subject used phone while parked near Sundarankottai Fuel Station,SYNTHETIC
SR000305,LOC000020,P000083,,2024-10-24T14:06:58Z,Vehicle sighting captured by ANPR at Mylapore City Police Station,SYNTHETIC
SR000306,LOC000025,P000240,,2025-07-06T09:30:18Z,Vehicle sighting captured by ANPR at Anna Nagar Check Post,SYNTHETIC
SR000307,LOC000019,P000355,,2026-03-17T08:49:13Z,Subject used phone while parked near Meenakshi Nagar Agro Market,SYNTHETIC
SR000308,LOC000001,P000281,VH000002,2026-03-18T11:00:09Z,Subject met unidentified associate at Ganapathy City Police Station,SYNTHETIC
SR000309,LOC000014,P000430,,2026-03-02T09:55:06Z,Subject met unidentified associate at Estancia Bridge End,SYNTHETIC
SR000310,LOC000033,P000586,VH000021,2024-05-28T00:38:09Z,CCTV frame captured at Ukkadam Toll Plaza toll plaza,SYNTHETIC
SR000311,LOC000008,P000257,VH000154,2024-02-14T00:38:03Z,Routine patrol log entry - Ambattur Warehouse Complex,SYNTHETIC
SR000312,LOC000040,P000008,VH000006,2025-06-04T00:56:58Z,Subject observed on foot near Gandhipuram Textile Mill,SYNTHETIC
SR000313,LOC000020,P000083,VH000055,2024-03-17T06:33:15Z,Subject observed on foot near Mylapore City Police Station,SYNTHETIC
SR000314,LOC000022,P000115,,2026-03-06T14:52:20Z,Routine patrol log entry - Nellithope Cold Storage,SYNTHETIC
SR000315,LOC000038,P000135,,2025-05-20T12:30:49Z,Vehicle sighting captured by ANPR at Tambaram Toll Plaza,SYNTHETIC
SR000316,LOC000024,P000507,,2026-04-24T06:01:32Z,Subject met unidentified associate at Palladam Check Post,SYNTHETIC
SR000317,LOC000043,P000271,,2026-01-17T00:19:26Z,Routine patrol log entry - Sowdambika Layout Night Bazaar,SYNTHETIC
SR000318,LOC000022,P000587,,2024-07-12T17:58:11Z,Routine patrol log entry - Nellithope Cold Storage,SYNTHETIC
SR000319,LOC000054,P000322,,2025-02-21T09:02:45Z,CCTV frame captured at Kallamadu Agro Market toll plaza,SYNTHETIC
SR000320,LOC000015,P000487,,2026-06-26T14:07:47Z,CCTV frame captured at Valluvar Layout Night Bazaar toll plaza,SYNTHETIC
SR000321,LOC000053,P000245,,2026-05-29T11:24:58Z,Vehicle sighting captured by ANPR at Mettupalayam Wholesale Market,SYNTHETIC
SR000322,LOC000008,P000265,,2024-08-20T22:57:02Z,Vehicle sighting captured by ANPR at Ambattur Warehouse Complex,SYNTHETIC
SR000323,LOC000037,P000505,,2025-07-31T19:43:31Z,Subject used phone while parked near Chokkanadar Pettai Textile Mill,SYNTHETIC
SR000324,LOC000051,P000008,VH000006,2024-07-14T09:39:20Z,CCTV frame captured at Chokkanadar Pettai Outer Ring Road toll plaza,SYNTHETIC
SR000325,LOC000042,P000231,,2024-03-27T14:54:37Z,CCTV frame captured at Chromepet Agro Market toll plaza,SYNTHETIC
SR000326,LOC000043,P000105,VH000070,2025-03-17T19:52:44Z,Vehicle sighting captured by ANPR at Sowdambika Layout Night Bazaar,SYNTHETIC
SR000327,LOC000046,P000084,VH000056,2025-08-12T09:06:13Z,Vehicle sighting captured by ANPR at Royapuram Fuel Station,SYNTHETIC
SR000328,LOC000019,P000185,,2025-09-20T14:51:12Z,Routine patrol log entry - Meenakshi Nagar Agro Market,SYNTHETIC
SR000329,LOC000022,P000420,VH000197,2025-11-09T23:29:53Z,CCTV frame captured at Nellithope Cold Storage toll plaza,SYNTHETIC
SR000330,LOC000061,P000280,,2026-06-13T06:43:19Z,CCTV frame captured at Central Market Junction toll plaza,SYNTHETIC
SR000331,LOC000008,P000213,,2025-07-26T14:48:21Z,Subject used phone while parked near Ambattur Warehouse Complex,SYNTHETIC
SR000332,LOC000015,P000203,VH000137,2026-06-29T15:09:34Z,Subject observed on foot near Valluvar Layout Night Bazaar,SYNTHETIC
SR000333,LOC000008,P000391,,2024-01-20T00:24:16Z,Vehicle sighting captured by ANPR at Ambattur Warehouse Complex,SYNTHETIC
SR000334,LOC000021,P000103,VH000146,2025-11-09T02:07:05Z,Subject met unidentified associate at Valluvar Layout Harbour Gate,SYNTHETIC
SR000335,LOC000008,P000265,,2025-11-13T20:09:54Z,Vehicle sighting captured by ANPR at Ambattur Warehouse Complex,SYNTHETIC
SR000336,LOC000030,P000378,,2024-04-18T15:56:41Z,Subject met unidentified associate at Ganapathy Junction,SYNTHETIC
SR000337,LOC000024,P000544,,2025-02-03T22:55:25Z,Subject met unidentified associate at Palladam Check Post,SYNTHETIC
SR000338,LOC000048,P000474,,2024-09-26T21:01:13Z,Subject observed on foot near Sulur Railway Yard,SYNTHETIC
SR000339,LOC000058,P000619,,2026-04-18T06:58:52Z,Routine patrol log entry - Anna Nagar Lorry Park,SYNTHETIC
SR000340,LOC000033,P000062,,2024-01-29T16:11:19Z,Subject used phone while parked near Ukkadam Toll Plaza,SYNTHETIC
SR000341,LOC000019,P000038,,2026-01-11T22:13:23Z,Vehicle sighting captured by ANPR at Meenakshi Nagar Agro Market,SYNTHETIC
SR000342,LOC000022,P000531,,2024-06-05T00:39:36Z,Subject met unidentified associate at Nellithope Cold Storage,SYNTHETIC
SR000343,LOC000045,P000247,,2024-11-23T08:49:18Z,Subject observed on foot near Pothigai Nagar Toll Plaza,SYNTHETIC
SR000344,LOC000040,P000360,,2025-09-29T05:11:19Z,CCTV frame captured at Gandhipuram Textile Mill toll plaza,SYNTHETIC
SR000345,LOC000012,P000605,,2024-01-09T18:58:26Z,Subject observed on foot near KK Nagar Night Bazaar,SYNTHETIC
SR000346,LOC000051,P000615,,2025-08-16T16:56:13Z,Subject observed on foot near Chokkanadar Pettai Outer Ring Road,SYNTHETIC
SR000347,LOC000024,P000035,VH000024,2025-05-12T02:31:56Z,Subject met unidentified associate at Palladam Check Post,SYNTHETIC
SR000348,LOC000034,P000240,,2024-11-03T07:08:35Z,Subject used phone while parked near Mattuthavani Junction,SYNTHETIC
SR000349,LOC000058,P000055,,2026-06-08T15:20:58Z,Vehicle sighting captured by ANPR at Anna Nagar Lorry Park,SYNTHETIC
SR000350,LOC000029,P000331,VH000177,2026-02-20T04:24:31Z,Routine patrol log entry - Estancia Fuel Station,SYNTHETIC
SR000351,LOC000027,P000521,,2025-12-10T04:25:46Z,Subject met unidentified associate at Mettupalayam Cold Storage,SYNTHETIC
SR000352,LOC000016,P000278,VH000158,2025-08-22T04:41:15Z,Subject met unidentified associate at Ukkadam Harbour Police Station,SYNTHETIC
SR000353,LOC000058,P000581,,2025-10-14T02:43:06Z,Routine patrol log entry - Anna Nagar Lorry Park,SYNTHETIC
SR000354,LOC000022,P000567,VH000228,2025-02-19T06:56:52Z,Vehicle TN01 JC 8318 (motorcycle) recorded entering Nellithope Cold Storage,SYNTHETIC
SR000355,LOC000032,P000505,,2025-03-20T19:22:17Z,Routine patrol log entry - Bharathi Bazaar Agro Market,SYNTHETIC
SR000356,LOC000049,P000504,,2024-12-10T23:38:19Z,CCTV frame captured at Gandhipuram Warehouse Complex toll plaza,SYNTHETIC
SR000357,LOC000021,P000279,,2026-04-20T13:26:57Z,Subject used phone while parked near Valluvar Layout Harbour Gate,SYNTHETIC
SR000358,LOC000023,P000301,VH000171,2025-07-04T02:42:18Z,Subject observed on foot near Sundarankottai Fuel Station,SYNTHETIC
SR000359,LOC000004,P000448,VH000027,2024-03-15T11:11:58Z,Subject used phone while parked near Chokkanadar Harbour Police Station,SYNTHETIC
SR000360,LOC000055,P000182,,2025-09-28T20:32:40Z,Subject used phone while parked near Kuruvikulam Construction Site,SYNTHETIC
SR000361,LOC000004,P000041,VH000028,2024-08-29T00:42:48Z,Subject met unidentified associate at Chokkanadar Harbour Police Station,SYNTHETIC
SR000362,LOC000045,P000253,VH000153,2024-07-31T10:31:34Z,CCTV frame captured at Pothigai Nagar Toll Plaza toll plaza,SYNTHETIC
SR000363,LOC000008,P000531,,2026-01-13T20:32:47Z,Subject observed on foot near Ambattur Warehouse Complex,SYNTHETIC
SR000364,LOC000009,P000593,,2025-11-20T15:42:56Z,Subject observed on foot near Chokkanadar Pettai Oil Depot,SYNTHETIC
SR000365,LOC000018,P000550,,2024-03-24T18:01:24Z,Subject used phone while parked near Anna Nagar Bus Terminus,SYNTHETIC
SR000366,LOC000003,P000288,,2026-06-20T19:26:28Z,Vehicle sighting captured by ANPR at Thirunagar Cold Storage,SYNTHETIC
SR000367,LOC000050,P000342,,2025-08-05T09:46:51Z,Subject met unidentified associate at Ganapathy Bus Terminus,SYNTHETIC
SR000368,LOC000054,P000384,,2025-12-14T23:49:56Z,Vehicle sighting captured by ANPR at Kallamadu Agro Market,SYNTHETIC
SR000369,LOC000021,P000109,VH000095,2026-08-07T08:45:56Z,Subject met unidentified associate at Valluvar Layout Harbour Gate,SYNTHETIC
SR000370,LOC000021,P000590,,2024-04-20T06:24:09Z,Subject observed on foot near Valluvar Layout Harbour Gate,SYNTHETIC
SR000371,LOC000004,P000367,,2026-07-22T17:55:48Z,Vehicle sighting captured by ANPR at Chokkanadar Harbour Police Station,SYNTHETIC
SR000372,LOC000033,P000290,,2026-02-27T00:20:42Z,Routine patrol log entry - Ukkadam Toll Plaza,SYNTHETIC
SR000373,LOC000040,P000425,VH000198,2026-05-21T10:43:46Z,Vehicle sighting captured by ANPR at Gandhipuram Textile Mill,SYNTHETIC
SR000374,LOC000040,P000517,VH000091,2024-04-29T10:08:07Z,CCTV frame captured at Gandhipuram Textile Mill toll plaza,SYNTHETIC
SR000375,LOC000050,P000242,VH000150,2026-08-21T08:42:50Z,CCTV frame captured at Ganapathy Bus Terminus toll plaza,SYNTHETIC
SR000376,LOC000008,P000090,,2024-04-13T22:31:30Z,CCTV frame captured at Ambattur Warehouse Complex toll plaza,SYNTHETIC
SR000377,LOC000020,P000077,,2024-08-22T03:24:58Z,CCTV frame captured at Mylapore City Police Station toll plaza,SYNTHETIC
SR000378,LOC000003,P000238,,2024-12-11T18:43:46Z,Subject met unidentified associate at Thirunagar Cold Storage,SYNTHETIC
SR000379,LOC000017,P000275,,2024-08-07T17:49:03Z,Subject used phone while parked near Egmore Cold Storage,SYNTHETIC
SR000380,LOC000058,P000248,,2024-07-27T22:36:26Z,Subject observed on foot near Anna Nagar Lorry Park,SYNTHETIC
SR000381,LOC000030,P000431,,2025-05-04T04:36:17Z,Subject met unidentified associate at Ganapathy Junction,SYNTHETIC
SR000382,LOC000015,P000005,,2025-08-23T05:37:18Z,Subject observed on foot near Valluvar Layout Night Bazaar,SYNTHETIC
SR000383,LOC000026,P000254,,2024-11-07T10:01:14Z,Subject met unidentified associate at Kajamalai Industrial Estate,SYNTHETIC
SR000384,LOC000010,P000596,,2026-05-30T22:09:17Z,Routine patrol log entry - Kuruvikulam Residential Layout,SYNTHETIC
SR000385,LOC000042,P000513,,2026-08-24T22:54:18Z,Routine patrol log entry - Chromepet Agro Market,SYNTHETIC
SR000386,LOC000015,P000573,,2025-06-07T13:25:59Z,Routine patrol log entry - Valluvar Layout Night Bazaar,SYNTHETIC
SR000387,LOC000042,P000346,,2025-10-30T17:18:35Z,Subject used phone while parked near Chromepet Agro Market,SYNTHETIC
SR000388,LOC000059,P000370,,2026-06-18T14:02:51Z,Vehicle sighting captured by ANPR at RS Puram Agro Market,SYNTHETIC
SR000389,LOC000040,P000303,VH000177,2026-01-31T03:54:38Z,Subject met unidentified associate at Gandhipuram Textile Mill,SYNTHETIC
SR000390,LOC000041,P000528,VH000214,2024-07-11T14:05:44Z,Subject used phone while parked near Vilachery Cold Storage,SYNTHETIC
SR000391,LOC000035,P000235,,2025-02-20T18:31:17Z,Routine patrol log entry - Arumbakkam Godown Compound,SYNTHETIC
SR000392,LOC000021,P000579,,2026-06-08T22:52:59Z,Subject used phone while parked near Valluvar Layout Harbour Gate,SYNTHETIC
SR000393,LOC000059,P000442,VH000203,2025-02-12T16:10:01Z,Subject observed on foot near RS Puram Agro Market,SYNTHETIC
SR000394,LOC000036,P000557,VH000085,2024-07-02T15:53:06Z,CCTV frame captured at Pothigai Nagar Oil Depot toll plaza,SYNTHETIC
SR000395,LOC000054,P000214,,2025-07-27T01:11:58Z,Routine patrol log entry - Kallamadu Agro Market,SYNTHETIC
SR000396,LOC000020,P000101,VH000096,2026-05-27T08:00:36Z,Subject used phone while parked near Mylapore City Police Station,SYNTHETIC
SR000397,LOC000024,P000140,,2025-08-19T01:45:20Z,Subject used phone while parked near Palladam Check Post,SYNTHETIC
SR000398,LOC000049,P000446,,2026-05-08T03:25:15Z,CCTV frame captured at Gandhipuram Warehouse Complex toll plaza,SYNTHETIC
SR000399,LOC000017,P000353,,2026-04-25T17:11:39Z,Routine patrol log entry - Egmore Cold Storage,SYNTHETIC
SR000400,LOC000012,P000390,,2025-04-05T14:48:38Z,Routine patrol log entry - KK Nagar Night Bazaar,SYNTHETIC
SR000401,LOC000006,P000376,,2024-11-27T13:53:36Z,Subject used phone while parked near Pappanaickenpalayam Bridge End,SYNTHETIC
SR000402,LOC000001,P000595,,2026-03-11T08:12:54Z,Subject used phone while parked near Ganapathy City Police Station,SYNTHETIC
SR000403,LOC000006,P000354,,2024-03-08T21:51:12Z,Subject met unidentified associate at Pappanaickenpalayam Bridge End,SYNTHETIC
SR000404,LOC000044,P000064,,2025-01-19T20:44:05Z,Subject met unidentified associate at Sulur Check Post,SYNTHETIC
SR000405,LOC000059,P000608,,2024-11-15T07:56:41Z,Routine patrol log entry - RS Puram Agro Market,SYNTHETIC
SR000406,LOC000034,P000399,,2025-12-25T20:01:47Z,Subject observed on foot near Mattuthavani Junction,SYNTHETIC
SR000407,LOC000011,P000156,,2026-07-18T09:46:32Z,Subject met unidentified associate at Peelamedu Harbour Gate,SYNTHETIC
SR000408,LOC000027,P000140,,2024-08-11T18:07:31Z,Subject met unidentified associate at Mettupalayam Cold Storage,SYNTHETIC
SR000409,LOC000004,P000248,,2026-04-04T10:07:05Z,Routine patrol log entry - Chokkanadar Harbour Police Station,SYNTHETIC
SR000410,LOC000001,P000342,,2025-05-07T16:37:31Z,Routine patrol log entry - Ganapathy City Police Station,SYNTHETIC
SR000411,LOC000061,P000436,,2025-06-07T17:21:06Z,Vehicle sighting captured by ANPR at Central Market Junction,SYNTHETIC
SR000412,LOC000001,P000429,,2024-04-27T05:54:37Z,Subject met unidentified associate at Ganapathy City Police Station,SYNTHETIC
SR000413,LOC000003,P000477,,2026-04-11T05:50:38Z,Subject met unidentified associate at Thirunagar Cold Storage,SYNTHETIC
SR000414,LOC000034,P000464,,2024-02-10T06:30:16Z,Routine patrol log entry - Mattuthavani Junction,SYNTHETIC
SR000415,LOC000036,P000489,,2025-01-24T10:46:26Z,Subject observed on foot near Pothigai Nagar Oil Depot,SYNTHETIC
SR000416,LOC000040,P000343,VH000180,2024-05-21T06:56:21Z,Vehicle sighting captured by ANPR at Gandhipuram Textile Mill,SYNTHETIC
SR000417,LOC000021,P000103,VH000087,2024-02-28T02:52:01Z,CCTV frame captured at Valluvar Layout Harbour Gate toll plaza,SYNTHETIC
SR000418,LOC000041,P000280,,2024-08-14T06:40:44Z,Subject observed on foot near Vilachery Cold Storage,SYNTHETIC
